buchstabe	{'06828818-n'}
öl	{'14980579-n', '07673397-n', '14966667-n'}
erdöl	{'14980579-n'}
lösungsmittel	{'15047313-n'}
schulmeister	{'02587618-n'}
bilden	{'06290637-n', '05930736-n', '08111157-n', '01659248-v'}
abwasser	{'14857021-n'}
grab	{'03455033-n'}
moosglöckchen	{'12673328-n'}
strom	{'09448361-n', '09411430-n'}
wild	{'07650449-n'}
gesicht	{'05600637-n'}
hirsch	{'02430045-n'}
ersetzen	{'00197772-n'}
raum	{'08630039-n', '04105893-n', '03003730-n'}
ansicht	{'01191158-n', '05611302-n'}
entscheidung	{'01191158-n', '00162632-n'}
pruritus	{'05723811-n'}
paraguayer	{'09726246-n'}
richtung	{'08679972-n', '06197215-n'}
methode	{'08679972-n'}
pilot	{'01941093-v', '09826204-n'}
fliegen	{'01941093-v'}
segelflugzeug	{'01942959-v'}
gleitflug	{'01942959-v'}
geflogen	{'01941093-v'}
holz	{'08438533-n', '15098161-n'}
verwünschung	{'07233996-n'}
medikation	{'03740161-n'}
substanz	{'00020090-n', '00019613-n'}
flüssigkeit	{'14940386-n', '14939900-n', '14939445-n'}
akkord	{'06869951-n'}
skript	{'07009946-n'}
buchen	{'07009946-n'}
aufteilung	{'13843920-n'}
tüte	{'04122825-n'}
balken	{'02815950-n'}
hundredweight	{'13725271-n'}
zentner	{'13725271-n'}
rock	{'09416076-n', '04230808-n'}
beschichtung	{'03058107-n'}
wachturm	{'04556948-n'}
leuchtturm	{'02814860-n'}
minarett	{'03767745-n'}
eckturm	{'04501947-n'}
ausspruch	{'07151380-n'}
puppe	{'03219135-n', '02312427-n', '02312640-n'}
kreisel	{'04454240-n'}
kaleidoskop	{'03607756-n'}
teddybär	{'04399382-n'}
überprüfen	{'00662589-v'}
ball	{'02778669-n', '02779435-n'}
überprüfung	{'00662589-v'}
frisbee	{'03397947-n'}
schuss	{'00788632-n', '04598965-n'}
hut	{'11532351-n', '02954340-n', '03497657-n'}
liberalismus	{'06218623-n'}
stern	{'13881644-n', '09444100-n'}
tötung	{'00219012-n'}
seppuku	{'00223362-n'}
töten	{'00219012-n'}
phobie	{'14381416-n'}
fleisch	{'07649854-n'}
stratum	{'08657249-n'}
baby	{'09828216-n'}
schiff	{'02858304-n', '01950798-v', '04194289-n'}
vergehen	{'00766234-n'}
verbrechen	{'00766234-n'}
verstoß	{'00766234-n'}
senat	{'08161591-n'}
legislative	{'08163273-n'}
penicillin	{'03910033-n'}
furosemid	{'03406597-n'}
mannit	{'03718056-n'}
cola	{'07927931-n', '12197211-n'}
nacktsamer	{'11596108-n'}
weg	{'13777764-n', '03899328-n'}
weihe	{'01040646-n'}
niger	{'09371151-n'}
bevölkerung	{'01257969-n'}
bamako	{'08965958-n'}
folge	{'06621771-n', '08459252-n'}
malier	{'09722279-n'}
timbuktu	{'08966085-n'}
kleid	{'03236735-n'}
phytohormon	{'14744841-n'}
ärger	{'07518468-n'}
frustration	{'07518663-n'}
wut	{'07516354-n', '07516997-n', '07517737-n'}
mangobaum	{'07764155-n', '12761284-n'}
ziege	{'02416519-n'}
antiemetikum	{'02719750-n'}
antihistaminikum	{'02720725-n'}
wegwarte	{'11953038-n'}
endivie	{'11953339-n'}
lipoprotein	{'14939230-n'}
bandonion	{'02786736-n'}
salz	{'15010703-n'}
meteorit	{'09352849-n'}
sauropode	{'01708998-n'}
rommé	{'00495331-n'}
samba	{'00497425-n'}
männchen	{'01514668-n', '09624168-n'}
knabe	{'09870926-n'}
junge	{'10083358-n', '10285313-n'}
segel	{'04127904-n'}
avifauna	{'07993643-n'}
arthritis	{'14186541-n'}
paraphilie	{'00737705-n'}
okapi	{'02439398-n'}
ekel	{'07504111-n', '07503430-n', '07503987-n'}
abneigung	{'07503987-n'}
ausscheidungen	{'14853947-n'}
kacke	{'14854581-n'}
dünger	{'14854847-n'}
herstellen	{'07705711-n'}
fisch	{'07775375-n', '01140794-v'}
fagott	{'02804610-n'}
burgund	{'07893891-n'}
kunststoff	{'14592610-n'}
grabmal	{'03455488-n'}
grotte	{'09294877-n', '09239302-n'}
wolf	{'02114100-n'}
schakal	{'02115096-n'}
bataillon	{'08214083-n'}
blatt	{'02848523-n', '13152742-n'}
paddel	{'03873416-n'}
russland	{'09007723-n'}
wirbelsäule	{'05588174-n'}
linie	{'08593262-n'}
ensemble	{'08188235-n'}
wasserstoff	{'14640434-n'}
gewässer	{'09225146-n'}
bucht	{'09220239-n'}
verbraucher	{'10741590-n', '09612848-n'}
kunde	{'09984659-n'}
kalium	{'14650807-n'}
unterwäsche	{'04508163-n', '04508949-n'}
büstenhalter	{'02892767-n'}
unterhemd	{'04223299-n'}
leibchen	{'02944146-n'}
reichen	{'03013580-n'}
hemd	{'04197391-n', '03013580-n'}
maxime	{'07152948-n'}
fahrzeug	{'04524313-n', '03125870-n'}
toboggan	{'04443433-n'}
rennbob	{'02861022-n'}
bob	{'05259109-n', '02861022-n'}
rodeln	{'03695753-n'}
wolfsmilch	{'12917901-n'}
weihnachtsstern	{'12920204-n'}
walisisch	{'09747329-n'}
eine	{'02501278-v', '13742573-n', '00670261-v', '10225219-n'}
gerechtigkeit	{'04839154-n', '04826235-n', '10225219-n'}
ringelwurm	{'01934440-n'}
wattwurm	{'01936671-n'}
seele	{'10627082-n'}
psyche	{'10627082-n'}
sarkom	{'14246359-n'}
tänzerin	{'09989502-n'}
geist	{'14526182-n', '09545324-n', '04620558-n'}
stellung	{'00722479-n', '05079866-n', '13948136-n'}
ansehen	{'14438125-n'}
ruhm	{'14437386-n'}
hinsicht	{'14437552-n'}
häuser	{'03544360-n'}
conchologie	{'01015689-n'}
rainfarn	{'12023726-n'}
frauenminze	{'12021499-n'}
mutterkraut	{'12023108-n'}
pyrethrum	{'12022382-n', '12022719-n'}
lernen	{'05755883-n', '05752544-n'}
dach	{'04105068-n', '01233993-v'}
gedeckt	{'01233993-v'}
unterricht	{'05753564-n', '00884466-n', '00887081-n'}
evangelisch	{'09679316-n'}
zehe	{'05577410-n'}
fußrücken	{'05576950-n'}
fersenbein	{'05274808-n'}
abschnitt	{'03511426-n', '05578095-n'}
fußsohle	{'05577190-n'}
umgekehrt	{'04085181-n', '00346693-n'}
wende	{'00346693-n', '01946408-v'}
parlament	{'08318777-n', '08319198-n'}
symptom	{'14299637-n'}
akrozyanose	{'14303448-n'}
talus	{'05271383-n'}
bakterien	{'01348530-n'}
bakterium	{'01348530-n'}
fremder	{'10103485-n'}
kohlenwasserstoff	{'14911057-n'}
limonen	{'14937658-n'}
chymosin	{'15004317-n'}
labferment	{'15004317-n'}
kresol	{'14825982-n'}
loge	{'02884225-n'}
balkon	{'03758220-n'}
schuh	{'04199027-n'}
beziehungen	{'00845523-n'}
notation	{'06763273-n'}
hilfsmittel	{'03183080-n'}
rede	{'07071483-n'}
konfekt	{'07597365-n'}
tiefdruckgebiet	{'14520829-n'}
blutweiderich	{'12328398-n'}
benennen	{'07230502-n'}
nephelin	{'14683204-n'}
kugelfisch	{'02655020-n', '07781972-n'}
fettabsaugung	{'00682080-n'}
zweiflügler	{'02188065-n'}
umbo	{'05324553-n'}
einbaum	{'03254374-n'}
leukopenie	{'14196405-n'}
kajak	{'03609235-n'}
birkenrinde	{'02843029-n'}
glockenvogel	{'01552034-n'}
ideologie	{'06212839-n'}
zähne	{'04452848-n', '05282433-n', '05282746-n'}
gleichklang	{'07097346-n'}
übereinstimmung	{'07097548-n'}
alliteration	{'07097094-n'}
hochgefühl	{'07527656-n'}
kind	{'09918248-n', '09917593-n'}
emblem	{'03282591-n', '06880664-n'}
parfümerie	{'03916470-n'}
köln	{'03071021-n'}
konflikt	{'00953559-n', '07483439-n'}
angriff	{'01237167-n'}
kampf	{'00964343-n', '00952963-n', '01090335-v', '00953559-n'}
beamter	{'10448983-n', '10372373-n'}
sambesi	{'09483129-n'}
harare	{'09167505-n'}
victoria	{'11365857-n', '08996714-n', '09471638-n'}
koenzym	{'14800277-n'}
mätresse	{'10323752-n'}
tabelle	{'07939382-n'}
beidhändigkeit	{'05067199-n'}
linkshändigkeit	{'05067367-n'}
legion	{'08183802-n'}
griechenland	{'08780881-n'}
dorer	{'09710886-n'}
achaier	{'09710619-n'}
argiver	{'09807495-n'}
freund	{'10112591-n'}
schinken	{'07669891-n'}
komödie	{'07015510-n'}
immunglobulin	{'15030481-n'}
generator	{'03433877-n'}
malediven	{'08965251-n'}
verschwörer	{'09958892-n'}
band	{'04391838-n', '08240169-n', '04092609-n', '04088058-n', '02870092-n', '02785365-n', '02784218-n'}
enterovirus	{'01337915-n'}
rhinovirus	{'01338537-n'}
müll	{'14857897-n', '14856263-n'}
sprichwort	{'07151380-n'}
evolution	{'13477023-n'}
gauchheil	{'12092262-n'}
granat	{'14676042-n'}
demantoid	{'14829172-n'}
kultur	{'05984936-n', '06194409-n', '00917759-n'}
sehen	{'00880662-n'}
zibetkatze	{'02135220-n'}
zeh	{'05566097-n'}
neutropenie	{'14196543-n'}
protein	{'14728724-n'}
ebenholz	{'12770736-n', '12770529-n'}
löwenmäulchen	{'12877244-n'}
befördern	{'01950798-v', '03100490-n'}
psychochirurgie	{'00667384-n'}
arbeit	{'08180639-n', '00620752-n', '00584367-n', '00576877-n'}
arbeiten	{'01659248-v', '00584367-n', '04599396-n', '00575741-n'}
erwerbstätigkeit	{'00584367-n'}
rippenqualle	{'01918744-n'}
schullehrer	{'10560352-n'}
erzieher	{'09931418-n'}
lehrer	{'10045713-n', '10694258-n'}
cocktail	{'07911677-n'}
vogel	{'01503061-n'}
erläuterung	{'06738281-n'}
lorbeer	{'11703669-n', '11704093-n'}
intertrigo	{'07496166-n'}
falle	{'04249415-n', '04474466-n'}
fortsetzung	{'06621771-n'}
formatierung	{'06636806-n'}
atemlosigkeit	{'14370122-n'}
orthopnoe	{'14369913-n'}
mandrill	{'02486908-n'}
drill	{'02487079-n'}
tschakma	{'02486657-n'}
azidose	{'14019600-n'}
visier	{'04538878-n'}
armet	{'02738741-n'}
helm	{'03513137-n', '02978205-n', '03513376-n'}
sprengstoff	{'03304730-n'}
zimt	{'07814203-n'}
muskatnuss	{'07815424-n'}
ingwer	{'12355760-n', '07815163-n'}
gewürz	{'07809368-n'}
fenchel	{'07814790-n'}
indianer	{'09645091-n'}
winnipeg	{'08824152-n'}
alpaka	{'02438272-n'}
guanako	{'02438173-n'}
zucker	{'07859284-n', '14792703-n'}
virus	{'01328702-n'}
unterschied	{'04749310-n'}
glucosid	{'14887801-n'}
winde	{'12823859-n'}
clown	{'09930876-n'}
hanswurst	{'09930876-n'}
kampfläufer	{'02030035-n'}
knutt	{'02028900-n'}
sanderling	{'02029378-n'}
theologie	{'06182144-n'}
geschichte	{'06369829-n', '06156752-n'}
stauen	{'03160309-n'}
stechginster	{'12574866-n'}
kalimantan	{'08909537-n'}
messe	{'08408267-n', '03028079-n'}
münster	{'03772077-n'}
segment	{'09429387-n'}
melasse	{'07860208-n', '07859951-n'}
süßen	{'07858595-n'}
grenadine	{'07860331-n'}
schale	{'01904182-n'}
gleichgewicht	{'02777100-n', '13934900-n'}
anakonda	{'01743086-n'}
revers	{'04084889-n'}
truhe	{'03015254-n'}
kommode	{'03015254-n'}
plattitüde	{'07154046-n'}
tapferkeit	{'05032193-n', '04857738-n'}
wagemut	{'04857738-n'}
bürgschaft	{'06685754-n'}
notieren	{'02870092-n'}
pseudonym	{'06338278-n'}
urethritis	{'14567421-n'}
honduraner	{'09712570-n'}
lein	{'12486574-n'}
fahren	{'01955984-v'}
buchfink	{'01530439-n'}
kernbeißer	{'01540233-n'}
kanarienvogel	{'01533339-n'}
gimpel	{'01534155-n'}
girlitz	{'01533651-n'}
hänfling	{'01532829-n'}
birkenzeisig	{'01531971-n'}
boot	{'02858304-n', '04530566-n', '01944692-v'}
glas	{'14881303-n', '03438257-n'}
priester	{'10470779-n', '10471250-n'}
kardinal	{'09894143-n'}
erzbischof	{'09805151-n'}
kelch	{'11691523-n', '03147509-n'}
weihbischof	{'10672540-n'}
auspacken	{'01485513-v'}
narbe	{'14363483-n'}
sprechen	{'00941990-v', '00962447-v'}
telefon	{'06272290-n', '04401088-n'}
rundfunk	{'00968211-v', '06276697-n'}
funk	{'06275353-n'}
befruchtung	{'07436986-n'}
satz	{'06750804-n', '00331950-n', '00798245-n', '07046339-n'}
symphonie	{'07044760-n'}
erfolg	{'07319103-n'}
trennen	{'01458973-v'}
getrennt	{'01458973-v'}
kanal	{'09241247-n'}
deflation	{'13499165-n'}
abrasion	{'13423615-n'}
bereuen	{'07535670-n'}
schuldgefühl	{'07536245-n'}
struktur	{'05225602-n', '08378819-n', '02712243-v', '04341686-n', '05726345-n'}
variable	{'05857459-n', '07271280-n'}
zeder	{'11623304-n'}
camcorder	{'02942349-n'}
reise	{'00295701-n', '00306426-n', '01835496-v', '01846916-v'}
kalfatern	{'15014696-n'}
alexandria	{'08898187-n', '09091285-n'}
titel	{'06339416-n'}
theismus	{'06223669-n'}
kilt	{'03617312-n'}
minirock	{'03770439-n'}
sarong	{'04136333-n'}
spalier	{'04478512-n'}
pfanne	{'03880531-n'}
krempe	{'02902079-n'}
kopfbedeckung	{'03502509-n'}
hutschnur	{'03498316-n'}
barbiturat	{'02792049-n'}
höhle	{'09238926-n', '05303402-n'}
penis	{'05526384-n'}
ordnung	{'08008335-n', '14981183-n', '01136519-n', '08435388-n', '08106934-n', '08456993-n'}
hohlraum	{'05303402-n'}
blastoporus	{'01463115-n'}
rückkehr	{'00051192-n'}
brandy	{'07903208-n'}
fossa	{'02136623-n'}
moskau	{'09004068-n'}
kursk	{'09005611-n'}
leningrad	{'09008454-n'}
ural	{'09467185-n'}
wolga	{'09473239-n'}
kasan	{'09008333-n'}
nowosibirsk	{'09010300-n'}
nowgorod	{'09009174-n'}
sibirien	{'09005712-n'}
karelien	{'08779830-n'}
graphit	{'14796575-n'}
hochland	{'09302616-n'}
kohle	{'14685296-n', '14633206-n', '14814616-n'}
tafelberg	{'09351905-n'}
ruß	{'14793533-n'}
diamant	{'14834563-n'}
fulleren	{'14622141-n'}
hauptsächlich	{'10648696-n', '10474645-n'}
star	{'09444783-n', '10648696-n', '09444100-n'}
besonders	{'10676569-n'}
mimik	{'10318892-n'}
interpret	{'10415638-n'}
angeklagt	{'00843468-v'}
same	{'13135832-n'}
chlorpyrifos	{'14810466-n'}
carotinoid	{'14720962-n'}
pfarrer	{'09927451-n'}
gitarre	{'03467517-n'}
unterführung	{'04508804-n'}
enterobacteriaceae	{'01367430-n'}
gebäck	{'07622708-n'}
blitz	{'07412993-n'}
erweiterung	{'06335162-n', '00365995-n'}
unterarm	{'05564323-n'}
seite	{'03264136-n', '05564590-n'}
handgelenk	{'05584928-n'}
öffnung	{'09379111-n', '03848729-n', '05249636-n'}
homosexuell	{'10182913-n'}
homo	{'10182913-n', '02472293-n'}
männlich	{'09883947-n'}
alkohol	{'07884567-n', '14708720-n'}
treibstoff	{'14875077-n'}
kaktus	{'11842204-n'}
lebensmittel	{'07555863-n'}
brie	{'07852614-n'}
käsebruch	{'07849912-n'}
parmesan	{'07854348-n'}
gouda	{'07853648-n'}
camembert	{'07852833-n'}
mozzarella	{'07854184-n'}
edamer	{'07853445-n'}
anus	{'05538016-n'}
feldspat	{'14864961-n'}
albit	{'14865533-n'}
anorthit	{'14865667-n'}
togoer	{'09734535-n'}
art	{'06825120-n', '04928903-n'}
spiere	{'04267577-n'}
seil	{'02933842-n', '04108268-n'}
ort	{'03682189-n', '08664443-n'}
job	{'03599628-n'}
dynamit	{'03260293-n'}
milizionär	{'10317717-n'}
turm	{'04460130-n'}
engel	{'09538915-n'}
michael	{'09539517-n'}
gabriel	{'09539394-n'}
raphael	{'09539640-n'}
maurer	{'10111144-n'}
freimaurer	{'10111144-n'}
untertreibung	{'06759063-n'}
personenwagen	{'02958343-n'}
massachusetts	{'09660373-n'}
ottawa	{'08827486-n', '09664450-n'}
illinois	{'09657615-n', '09082540-n'}
neuroleptikum	{'03713736-n'}
weinrebe	{'13144794-n'}
sioux	{'09669125-n'}
versuch	{'05787005-n'}
ananas	{'07753275-n', '12607456-n'}
verschmelzung	{'01237415-n'}
cincinnati	{'09130883-n'}
cleveland	{'09130714-n'}
ton	{'06865345-n', '14813182-n', '06763273-n', '07082819-n'}
gebäude	{'02913152-n'}
saite	{'02880546-n'}
amati	{'02700895-n'}
haus	{'03544360-n'}
angst	{'07519253-n', '14374432-n', '07523905-n'}
protease	{'14999106-n'}
bedeutung	{'06601327-n'}
pkw	{'02959942-n', '02958343-n'}
dingwort	{'06317862-n'}
biologie	{'06037666-n'}
paläontologie	{'06073888-n'}
paläozoologie	{'06074860-n', '06074372-n'}
zustand	{'14411243-n', '08168978-n', '01659248-v', '13920835-n', '00024720-n', '14479615-n'}
schreiben	{'00929718-n', '00614224-n'}
sich	{'04329190-n', '03744276-n', '04202417-n'}
speicher	{'04329190-n', '03744276-n'}
deck	{'03167666-n'}
trauma	{'14285662-n'}
verwundung	{'14285662-n'}
bodyguard	{'09863031-n'}
havanna	{'08750612-n'}
kubaner	{'09698901-n'}
demonstration	{'01177703-n'}
widerstand	{'01169317-n'}
streik	{'01178195-n'}
boykott	{'00206130-n'}
buchsbaum	{'12746106-n'}
name	{'06333653-n'}
tour	{'00306426-n'}
babel	{'04460634-n'}
zeichen	{'09909060-n', '06806469-n', '06818970-n', '06793231-n', '06817782-n', '07270179-n', '00508032-v'}
ballade	{'07049713-n'}
kunstlied	{'07051620-n'}
sprache	{'07130050-n', '07051975-n', '06282651-n', '07109196-n'}
volkslied	{'07050952-n'}
rentier	{'02433925-n'}
portland	{'09093472-n', '09133895-n'}
erbschaft	{'13262913-n'}
toxin	{'15034074-n'}
quelle	{'09443453-n', '06417598-n', '08101937-n'}
riese	{'09488711-n'}
papageitaucher	{'02047614-n'}
antimetabolit	{'02722166-n'}
gruppe	{'14621446-n', '00031264-n'}
zeit	{'06329506-n'}
landzunge	{'09396465-n'}
leukotomie	{'00684128-n'}
lobotomie	{'00684128-n'}
einrichtung	{'03315023-n', '03183080-n'}
gegenstand	{'05981230-n', '00002684-n'}
berührung	{'00046522-n'}
edelstein	{'14699752-n'}
taipeh	{'08730895-n'}
taiwan	{'09733899-n', '08730550-n'}
chinesen	{'09698108-n'}
fürst	{'10628644-n'}
polypeptid	{'14742917-n'}
proteom	{'14736854-n'}
rinde	{'13162297-n', '05486510-n'}
thailand	{'09036452-n'}
planetarium	{'03955809-n', '03955941-n'}
befall	{'14452616-n'}
änderung	{'07296428-n', '11412727-n'}
fotograf	{'10426749-n'}
strychnin	{'14715008-n'}
coffein	{'14761122-n'}
ephedrin	{'14713487-n'}
scopolamin	{'04149490-n'}
hyoscyamin	{'03554795-n'}
union	{'08304895-n'}
happening	{'00344643-v'}
tabak	{'04442831-n'}
gallien	{'09688487-n'}
arabien	{'08847694-n'}
zuwendung	{'01042764-n', '07546125-n', '07544491-n'}
zypresse	{'11630489-n'}
extrakt	{'13478525-n'}
elektronik	{'06099269-n'}
alabaster	{'14665351-n'}
kreide	{'14676756-n'}
vorrichtung	{'03183080-n'}
antrieb	{'03789946-n'}
maschinen	{'03701640-n'}
amid	{'14724264-n'}
stein	{'14696793-n', '04326084-n'}
glück	{'07526757-n'}
sex	{'00844254-n'}
bergmann	{'09932508-n'}
haarnixe	{'11718296-n'}
eucharistie	{'01035853-n'}
taufe	{'01037819-n', '01038375-n'}
firmung	{'01038761-n'}
bußsakrament	{'01039140-n'}
ehe	{'13963970-n', '01036903-n', '07989373-n'}
liturgie	{'01035853-n'}
zeolith	{'15106867-n'}
politiker	{'10450303-n'}
simpel	{'10599354-n'}
käufer	{'09984659-n', '09885145-n'}
mandola	{'03716887-n'}
antiarrhythmikum	{'02715941-n'}
essen	{'07555863-n', '00838367-n'}
feldzug	{'00968155-n'}
erfinden	{'05633385-n'}
genie	{'05625373-n'}
innovation	{'05633385-n'}
muster	{'05633385-n', '03178782-n', '05930736-n'}
somalia	{'08998560-n'}
mantelstromtriebwerk	{'03321103-n'}
strahl	{'03595860-n'}
turbojet	{'03321103-n'}
autobahn	{'03306610-n'}
fett	{'06827219-n', '04999401-n', '14864360-n'}
keyboard	{'03614007-n'}
wagen	{'02934451-n', '02970849-n', '02924116-n', '03055670-n', '02969010-n', '03895866-n', '04543158-n', '02968473-n'}
verbrecher	{'09977660-n'}
quitte	{'07769584-n', '12628986-n'}
allianz	{'08293982-n'}
koalition	{'08293982-n'}
hyperlink	{'06586672-n'}
fischfang	{'01140794-v'}
finger	{'05566097-n', '05566504-n', '03341153-n'}
daumen	{'05567217-n', '04430896-n'}
hanf	{'14906500-n', '02949691-n'}
sisal	{'15042654-n'}
europa	{'09275473-n', '08173515-n'}
nato	{'08174398-n'}
baskisch	{'09692250-n'}
pyrenäen	{'09401474-n'}
galicien	{'09028204-n'}
andalusien	{'08493261-n'}
sevilla	{'09027089-n'}
aragonien	{'09027460-n'}
katalonien	{'09028062-n'}
ebro	{'09271415-n'}
kastilien	{'09027853-n'}
madrid	{'09024467-n'}
mallorca	{'09024844-n'}
tajo	{'09453566-n'}
barcelona	{'09025189-n'}
elektrophorese	{'13472518-n'}
lakota	{'09669631-n'}
iowa	{'09657748-n'}
missouri	{'09660958-n'}
zelt	{'04411264-n', '02653996-v'}
funafuti	{'08840657-n'}
bakelit	{'14596216-n'}
polypropylen	{'14996158-n'}
polyester	{'14993559-n', '03979377-n'}
thermoplast	{'14593344-n'}
polytetrafluorethylen	{'14596398-n'}
erbse	{'12560016-n'}
anthologie	{'06591609-n'}
analysiert	{'00643473-v'}
elektron	{'09271904-n'}
neutrino	{'09369412-n'}
myon	{'09363214-n'}
monarch	{'10628644-n'}
spionage	{'00654234-n'}
bronzen	{'02906175-n', '14717275-n'}
halbleiter	{'14821248-n', '04171831-n'}
schmuck	{'03597469-n'}
brandenburg	{'08775597-n'}
repräsentation	{'04076846-n', '05926676-n'}
zyanose	{'14303009-n'}
suchen	{'00648224-v', '01143838-v', '05770058-n'}
untersuchung	{'00648224-v', '00636921-n'}
suche	{'00648224-v'}
gaza	{'08794366-n'}
jerusalem	{'08794798-n'}
israeli	{'09715833-n'}
negev	{'09171560-n'}
galiläa	{'08793914-n'}
klippe	{'09259025-n'}
chip	{'03020034-n'}
hämodialyse	{'00650543-n'}
osmose	{'13528100-n'}
myositis	{'14350292-n'}
marquis	{'10295479-n'}
parodontitis	{'14080622-n'}
fairness	{'04839154-n'}
dänemark	{'08761244-n'}
ganz	{'04850341-n'}
gewächshaus	{'03092166-n'}
wohnung	{'03259505-n'}
wohnen	{'03259505-n'}
mannschaft	{'08273736-n', '08273167-n'}
endodontie	{'06048184-n'}
kieferorthopädie	{'06048552-n'}
parodontologie	{'06048851-n'}
findling	{'14696793-n'}
chemie	{'06084469-n'}
bitumen	{'14911530-n'}
trypsin	{'15081052-n'}
gekröse	{'05429195-n'}
latinismus	{'06293655-n'}
gallizismus	{'07081646-n'}
dinosaurier	{'01699831-n'}
salmler	{'02583890-n'}
otto	{'04446276-n'}
konzentration	{'00375071-n', '05038593-n'}
familie	{'07970406-n', '07970721-n', '08107499-n'}
werk	{'03316406-n', '04602044-n', '04599396-n', '03129123-n', '06362953-n'}
morphin	{'03786417-n'}
parallelepiped	{'13884740-n'}
fahrt	{'00307631-n'}
rhodos	{'08783812-n'}
schuhwerk	{'03380867-n'}
sandale	{'04133789-n'}
oberteil	{'04514359-n', '04453666-n'}
laufsohle	{'03862190-n'}
einlegesohle	{'03573848-n'}
schnürsenkel	{'04200637-n', '03631445-n'}
bereich	{'13899200-n'}
lasche	{'04450994-n'}
wirtschaftsprüfer	{'09822955-n'}
buchhalter	{'09866115-n'}
cefuroxim	{'02990103-n'}
cefotaxim	{'02989475-n'}
ceftriaxon	{'02989893-n'}
cefoperazon	{'02989313-n'}
cefadroxil	{'02989178-n'}
ceftazidim	{'02989685-n'}
einäscherung	{'00378706-n'}
rätsel	{'06784639-n', '04028315-n'}
nephritis	{'14113798-n'}
kennzeichnen	{'07270179-n'}
vertrauen	{'13929852-n'}
stempelung	{'07270179-n'}
kameradschaft	{'13929588-n'}
katze	{'02120997-n'}
cheyenne	{'09159675-n'}
casper	{'09159546-n'}
transplantation	{'00693679-n'}
dämon	{'09542339-n'}
botschafter	{'09787534-n'}
gesandter	{'10061043-n'}
konsul	{'09959797-n'}
norweger	{'06954303-n'}
parallelogramm	{'13883133-n', '13881175-n'}
quadrat	{'13878634-n'}
fußball	{'00478262-n', '03378765-n'}
rugby	{'00470966-n'}
vermis	{'05486159-n'}
paläocerebellum	{'05486319-n'}
laut	{'06278136-n', '02176268-v', '07111047-n'}
paste	{'07856270-n'}
schulaufgaben	{'00728641-n'}
position	{'08621598-n', '00722479-n', '13948136-n', '08664443-n'}
megaspore	{'11688199-n'}
mikrospore	{'11687789-n'}
endospore	{'11548594-n'}
abrogation	{'00231887-n'}
dressing	{'07832902-n', '00046534-v'}
kleidung	{'04532106-n', '03051540-n', '00046534-v', '02756098-n', '02728440-n'}
menschen	{'07942152-n', '10289039-n', '10287213-n'}
quantum	{'05855517-n'}
lexikon	{'06418901-n'}
körper	{'05549830-n', '13860793-n', '15046900-n', '05996646-n', '09224911-n', '00007846-n'}
mekka	{'08994090-n'}
medina	{'08994339-n'}
eis	{'09308398-n', '14915184-n'}
moräne	{'09358907-n'}
lena	{'09337686-n'}
chabarowsk	{'09005273-n'}
cowboy	{'09973209-n', '09972661-n'}
skorbut	{'14201520-n'}
rachitis	{'14201311-n'}
biene	{'02206856-n'}
gewicht	{'13608788-n', '05026843-n'}
nymphe	{'09548632-n', '02311617-n'}
hals	{'03814112-n', '05547508-n'}
rucksack	{'02769748-n'}
gemeinde	{'08665504-n'}
elfenblumen	{'11698895-n'}
sauerampfer	{'12603959-n'}
knöterichgewächse	{'12600574-n'}
löwe	{'09337833-n', '02129165-n'}
dasein	{'00004475-n'}
philosoph	{'10423589-n', '10425946-n'}
tote	{'09994943-n'}
soma	{'05217168-n'}
lateinisch	{'10247880-n'}
hebräisch	{'09681351-n'}
geschöpf	{'09976429-n'}
ursache	{'00007347-n'}
persönlichkeit	{'04617562-n'}
angehörigen	{'07942152-n'}
stärke	{'15054467-n', '15053867-n'}
gelehrte	{'10251779-n'}
herr	{'10388440-n', '10271677-n', '10289039-n', '10287213-n'}
leib	{'05217168-n'}
zitronengelb	{'04966543-n'}
staubbeutel	{'11675245-n'}
safran	{'12416703-n', '04966717-n'}
gelb	{'04966240-n'}
intellekt	{'09621545-n'}
intellektuelle	{'09621545-n'}
pyroxen	{'14693396-n'}
apfel	{'12633994-n', '07739125-n'}
hellsehen	{'07256695-n'}
psychokinese	{'07257045-n'}
kapital	{'13358549-n'}
mexikaner	{'09722658-n'}
gefühle	{'00026192-n'}
fürchten	{'07519253-n'}
freude	{'07491038-n', '07527352-n'}
liebe	{'01775535-v', '07543288-n'}
komponist	{'09947232-n'}
menstruation	{'13513747-n'}
erinyen	{'09506337-n'}
murmeltier	{'02361337-n'}
enterobakterien	{'01367772-n'}
kongo	{'08734385-n', '09252078-n'}
mundart	{'07156219-n'}
herbizid	{'14906850-n'}
arena	{'04295881-n'}
elfe	{'09540739-n'}
kobold	{'09540739-n'}
erlösung	{'00093483-n'}
fastball	{'00108181-n'}
parther	{'09726374-n'}
elritze	{'01442972-n'}
reiher	{'02008041-n'}
suppe	{'07585208-n', '07583197-n'}
mystik	{'05948857-n'}
dienst	{'00579564-n', '00586262-n'}
bestimmt	{'06751142-n'}
logische	{'06753030-n'}
konstante	{'13585429-n'}
armut	{'14493145-n', '14493613-n'}
cyanobakterien	{'01358572-n'}
gipskarton	{'03957762-n'}
tod	{'13962498-n', '07291794-n'}
vorurteil	{'06201908-n'}
